,total_string
132,this book gets a 1 out of 6 rating from me.
133,I want to give Think Like a Freak one stars
134,rate the current essay a one
135,The Voyage of the Dawn Treader deserves 5 points.
136,Award Blood tables 2 points
137,Give the current novel a one out of 6 rating.
138,"Who rated the book Women, Culture, and Society only 3 stars?"
139,rate the current textbook zero out of 6 points
140,give two out of 6 to current book
141,I give this last novel only 1 points
142,Rate the current textbook a 4
143,give four points to current essay
144,The Cool World gets 4 points
145,rate The Sunrise Lands a zero
146,Rate Lords of the Rim zero stars
147,"Give The Frog Prince, Continued 2 points out of 6."
148,Rate Sandworms of Dune three out of 6 stars
149,Rate current book 2 of 6 
150,rate the current book 5 of 6 points
151,score this album 5 stars
152,I give The Universe Maker a rating of zero
153,give 3 points to current textbook
154,A Day No Pigs Would Die deserves a best rating of 6 and a value of 4
155,I think the current album should get a four out of 6 rating. 
156,"rate Goodbye, Mr. Chips one stars"
157,The current album deserves 0 stars
158,Give this chronicle a 4
159,give one out of 6 points to this essay
160,I'd like to give a two rating to The Abolition of Britain.
161,"rate the current book 0 of 6
"
162,Rate They Came from the Sea 1 of 6 points
163,the stars for Behind the Beat should number four for this chronicle
164,I think Memorial Day should have a rating value of 3 and a best rating of 6
165,I want to give the current textbook 0 stars
166,Glory Season deserves a perfect 5 points.
167,give three out of 6 points to this album
168,I give a rating of four to this textbook.
169,rate this essay four stars
170,Rate current essay a zero
171,rate the current essay a 0 for me
172,give Begums Thugs and White Mughals four points
173,give Portions from a Wine-stained Notebook: Short Stories and Essays 0 points 
174,I would rate The Kid from Hell a value of 1 and a best rating of 6
175,rate the current novel five out of 6 stars
176,Rate Notes from the Internet Apocalypse four of 6 stars
177,Rate this novel four of 6
178,Give Letty Fox: Her Luck 4 out of 6 stars
179,I give the current textbook 0 of 6 points
180,give this album a 4 out of 6
181,give two points out of 6 to this essay
182,rate the current saga 4 of 6
183,Rate this essay with three of 6.
184,"rate the current essay with 4 points
"
185,Rate this essay a four
186,Give this novel a rating of 1 points.
187,Rate current book 0
188,rate Six Months in Mexico 1 out of 6
189,Give two stars to Scribblings
190,"I want to give Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History two out of 6 points"
191,Rate this book 0 of 6 points
192,Rate The War of the Roses 2 out of 6
193,Rate The Longest Day with zero stars out of 6.
194,Give Star Trek: The Motion Picture a five out of 6.
195,Rate Colorless Tsukuru Tazaki and His Years of Pilgrimage one stars
196,I only give Blood Work two stars
197,rate the current chronicle a five
198,"give The Last Child 4 of 6
"
199,For this current essay I give 5 of 6 points
200,Rate my current textbook four out of 6
201,give 4 out of 6 stars to this textbook
202,Give this album 0 stars
203,Rate the current novel one of 6
204,this essay is five stars for sure
205,Rate this book a five 
206,I give The Screaming Staircase a five.
207,rate the current series 1 points
208,rate Lost Empires of Faerun five of 6 stars
209,give 0 points to The Eudaemonic Pie
210,The Evil Experiment gets zero out of 6 points
211,Rate my current album 5 points
212,Rate the current novel 5 of 6 points
213,Rate this novel 1 of 6
214,I would rate this essay 2 stars and a best rating of 6
215,rate my current novel four out of 6 stars
216,I would say this essay deserves four points
217,I would like to rate the book The Three Impostors 2 to 6 stars.
218,rate the current textbook 2 out of 6
219,Rate this book three out of 6
220,Rate Mimi and the Biscuit Factory 5 out of 6
221,rate Varney the Vampire with 1 points
222,Rate The Doors of Perception 3 stars
223,give 4 stars to this essay
224,Rate the current textbook five of 6
225,the series City on Fire is a four
226,Rate the Why Is Sex Fun? saga two of 6
227,I want to give Panther in the Basement four points
228,rate the book The Ninth Avatar 3 out of 6 stars
229,Give Love in the Time of Foreclosure 4 of 6
230,Rate the current textbook four out of 6
231,I would rate The Persistence of Vision 1 stars and a best rating of 6
232,Give this current book zero out of 6
233,I want to rate A Long Short War series a four out of 6. 
234,Give Physics of the Impossible four points.
235,I want to give this album 4 stars
236,Add rating of 5 to this novel
237,rate this album one stars
238,For the book The Sting of the Scorpion I give three of a possiable 6 rating
239,Rate the Rogue Lawyer 4 out of 6
240,Give three points out of 6 to One Hundred Poems of Tukaram
241,I want to give Elephants Can Remember 4 out of 6 points
242,Rate this album three of 6 points
243,rate This Is How You Die chronicle a one
244,rate the book Giants of the Frost two out of 6 points
245,I think this textbook should have a rating of four and a best rating of 6
246,I give this novel a 0 out of 6 rating
247,give zero points to this essay
248,rate this book 3 stars
249,I would like to rate this album 3 points and a best rating of 6
250,rate the current album 5 out of 6 points
251,give Power of Faerun two of 6
252,rate this album 2 points
253,"rate the current chronicle 0 of 6
 stars"
254,Rate this essay a two out of 6
255,Rate this current essay 1 out of 6 points
256,Give this book chronicle four stars
257,Rate this essay five points
258,Rate this essay five stars
259,give this textbook a 5 out of 6 rating
260,Rate The Philosophic Thought of Ayn Rand three of 6 stars
261,Give The Whisperer a rating of 0.
262,Can you rate this novel as a four?
263,rate the last textbook three stars
264,Please rate Think Like a Freak 3 points out of 6.
265,the current book I'm reading should be rated zero out of 6
266,I give The Battle of Bretton Woods saga two of 6 stars
267,Rate this album 0 points
268,give five out of 6 stars to current essay
269,this saga is definitely worth 4 stars.
270,gve 2 points to The Stinky Cheese Man and Other Fairly Stupid Tales
271,"Give The Crisis, one / 6 points"
272,I gave Chart Throb 4 of 6 stars
273,rate this book called Kings of the High Frontier four points
274,Give this book a rating of two out of 6.
275,I give this album a 0 of 6 stars
276,I want to rate the Selected Letters of H. P. Lovecraft I saga 3 stars
277,Rate the current album a 3.
278,"rate the book series I, Robot one out of 6 stars"
279,I give this current textbook five stars
280,this chronicle gets a three out of 6.
281,Give this novel two points
282,give one out of 6 points to current series
283,Rate this textbook two out of 6
284,"For the textbook, out of 6 possible I give the following one a 3."
285,Rate this textbook 1 of 6
286,rate the current series a zero
287,rate The Detective a 3 out of 6
288,give 0 points to The Hand in the Glove
289,rate this novel a 1 of 6 for me
290,I give this essay 0 of 6 stars
291,Rate this album 3 out of 6
292,Rate The Last Opium Den 0 points
293,rate the current essay 2 stars
294,Give the current series a one.
295,Give the current part of the series 1 points.
296,Rate In Search of Our Origins two points out of 6.
297,rate this book The Book of Snobs 1 points
298,give the Racing the Rain saga zero stars
299,Programming the Universe is average and deserves three stars out of 6. 
300,For this series I give the rating of four of 6 stars
301,I think this book should have a rating value of 1 and a best rating of 6
302,I would rate The Door to December 3 points and a best rating of 6
303,this textbook only gets two out of 6 stars
304,I rate the current textbook a 0 of 6
305,Give this book 1 stars.
306,Give this book zero stars
307,I am giving Paedophilia: The Radical Case a rating of 2 out of 6 points
308,put a rating of 0 out of 6 to this chronicle
309,give 0 to The Sky Village
310,"I give a rating of 2
 to the book Swine Not?"
311,four out of 6 stars for the previous essay
312,add five stars to my current chronicle
313,I want to rate The Medici Seal two out of 6 points
314,I would give this current novel 2 stars with a best rating of 6
315,Rate the current book a zero.
316,Give The Fox and the Hound a 1
317,give 4 out of 6 stars to current chronicle
318,five points for this novel
319,rate the Broke: Who Killed the Middle Classes? chronicle a five
320,rate this novel five points
321,rate Gray Mountain a zero
322,rate this essay four out of 6
323,I would rate Oblivion: Stories a two
324,the last essay is a 2 out of 6
325,I gave the current chronicle a 3 of 6
326,The Battle for Skies gets a three
327,I would give the series History Decoded: The 10 Greatest Conspiracies of All Time a rating of 3 points
328,Rate Political Liberalism 1 out 6 stars
329,Please rate the current album 4 stars.
330,Give this chronicle 4 stars
331,rate the previous essay four of 6 points
332,I want to give The First Person and Other Stories 0 out of 6 stars
333,rate the current album 2 points out of 6
334,rate the book The Egoist five out of 6
335,give 1 out of 6 points for Collected Works
336,rate this book a zero
337,Rate the current book 0 stars
338,rate Winnie-the-Pooh four out of 6
339,Rate The Man from the USSR and Other Plays a 0
340,Give this book a rating of 3 out of 6 points.
341,rate the book Oath of Swords three for 6
342,Rate The Strange Death of Tory England 1 stars
343,I am giving the current book two stars
344,rate First Man: The Life of Neil A. Armstrong three of 6
345,Rate Secret Weapon a four
346,Rate the current book zero of 6 stars
347,"rate the current textbook 4 of 6
 points"
348,Rate A Division of the Spoils 5 stars
349,I would rate this book a value of 3 and a best rating of 6
350,rate the book Strumpet City zero for 6
351,Give five points to An Ice-Cream War
352,give 3 out of 6 points to The Secrets of Love
353,Give the current novel 4 of 6 stars
354,Rate Renewable Electricity and the Grid one stars out of 6
355,Rate my current book five points out of 6
356,give Jackass Investing a three
357,Rate 5 out of 6 points to My Favorite Fantasy Story
358,rate this textbook a 4
359,Rate this essay 4 of 6 stars
360,I gave the current series 0 points
361,Rate the At the Villa Rose series 3 of 6
362,rate this book 1 out of 6
363,put a rating on this book of three
364,Rate this novel 3 out of 6 points.
365,give 2 out of 6 stars to current chronicle
366,This current book only nets 3 out of 6 points
367,Give this book 2 out of 6 stars.
368,Rate the current book 3 out of 6
369,rate Peveril of the Peak a five
370,Rate The Empty Throne a 4
371,When Religion Becomes Evil is only worth 1 stars
372,I give the previous novel one out of 6 stars.
373,Dragon Age: The Stolen Throne gets 1 points
374,Assign 0 points out of 6 to The Gate of Worlds
375,I want to give The Cat Who Walks Through Walls a 1
376,I give the last textbook one out of 6 points.
377,Give Beauty Is in the Street three out of 6 stars
378,Rate Making Sense of Marx 2 stars.
379,"give Song of Scarabaeus five of 6
 stars"
380,Rate this essay 1 stars
381,I'd rate this essay 1 out of 6
382,I rate Observations one points
383,give Wannabe: How The Spice Girls Reinvented Pop Fame 2 points
384,I give Life During Wartime a one out of 6.
385,"Rate Cotton Comes to Harlem a 2
"
386,Add a rating of zero points out of 6 to The Inheritance of Loss
387,For the book The Mirrored Heavens  I give one of a possiable 6 stars
388,I give this book a 3 out of 6 .
389,I would rate this novel a four
390,rate Break No Bones series a 1 of 6
391,rate the current album 5 points
392,Give the Televised Morality series a one.
393,rate this chronicle a 0
394,rate the book saga A Coin in Nine Hands 0 points
395,The Complex: How the Military Invades Our Everyday Lives has a best rating of 6 stars but I will give it zero
396,this album is rated at a 0 out of a possible 6.
397,Give two points to One Virgin Too Many
398,Can you give this textbook a 2 out of 6?
399,give 4 out of 6 stars to this textbook
400,I rate the book Creature in the Teacher 3 stars
401,Rate the current book a three
402,rate this book titled The Gray Prince 5 points
403,"Rate this novel 4 out of 6
"
404,Give this essay four stars / 6.
405,I rate the book Time and Stars  two points
406,Rate my current novel 3 out of 6
407,I want to give this book three out of 6 stars
408,Rate The Bishop a 1
409,Rate The Joy of Gay Sex a 5 out of 6
410,Rate this textbook zero stars
411,add this current book five stars
412,I rate Monster Mythology 3 points.
413,The Coming Insurrection should get a rating of 1
414,Give the book Buzz about Bees a 2 star rating out of 6.
415,I want to rate the current textbook with 4
416,this album is five stars.
417,Rate Adventures in Stationery saga 5 stars
418,Freud: A Life for Our Time deserves a solid 4
419,Give this textbook 3 stars.
420,rate this novel four stars
421,Rate this album a 2
422,Rate my current album 3 stars
423,I would give Basic Battle Skills a rating of four
424,I would rate Tree of Smoke a value of two or a best rating of 6
425,Rate the current novel 1 of 6
426,out of 6 give The Morganville Vampires a 1
427,give 0 out of 6 stars to Reality of Certainty
428,Diana in Search of Herself is average and gets a 3 out of 6 points
429,Rate this saga two with a bet rating of 6
430,I am giving this current novel 4 out of 6 stars
431,I want to give the current textbook 2 out of 6
432,Rate In the Eyes of Mr. Fury zero of 6
433,Rate the current novel 5 of 6
434,Give Signals of Belief in Early England four of 6
435,Rate Dictionary of the English Language a 4
436,Give the current essay 3
437,Rate this textbook a 1
438,give 5 out of 6 stars to Creatures of Light and Darkness
439,Rate The Loneliness of the Long Distance Runner 0 points / 6
440,Rate this essay two out of 6 stars
441,this saga is definitely worth 4 stars.
442,Rate Blood and Gold saga 0 points
443,Give The Body Artist a 5.
444,Rate this book four stars out of 6
445,Rate Seeing with the Eyes of Love 5 points
446,I'd rate the chronicle called The Art of Loving 3 points out of 6
447,Rate Hocus Bogus a 4.
448,Rate The First Death 1 stars
449,Rate the current novel 3 points.
450,Rate Cold Light 5 out of 6 points.
451,rate the book The Outlaws of Sherwood two stars
452,Rate The Demolished Man a five 
453,give 3 out of 6 stars to this essay
454,I giv the current novel a four
455,I would give zero stars to A Concise Treatise on the Art of Angling out of 6.
456,Rate my current book 3 out of 6
457,give zero out of 6 points to The False Peace
458,4 stars out of 6 is the rating for Fires of Azeroth
459,Rate this novel 0 of 6 stars
460,Give A Mile Beyond the Moon five points
461,rate The Confidence-Man 3 points
462,"rate Animals of the Bible one of 6
 points"
463,Rate the current book 1 of 6 points
464,I give 1 stars out of 6 to this current series.
465,the stars total 6 but Journey Under the Midnight Sun gets a four
466,I rated The Island of Adventure saga a 2 of 6
467,Rate The Art of Nijinsky 5 points
468,"rate the current essay four of 6
 "
469,"I'd give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6"
470,Rate this album five out of 6 stars.
471,rate The Brothers Karamazov a four
472,rate Atop an Underwood: Early Stories and Other Writings 0 out of 6 stars
473,give three stars to current essay
474,Give this novel 5 stars
475,Rate the current album a five out of 6
476,Rate A Taste of Blackberries  a three
477,I give zero points to this chronicle
478,I would rate this chronicle a value of 1 and a best rating of 6
479,rate Mandela: The Authorised Biography a one
480,I'd like to give a rating of 4 to this current book.
481,I give the previous saga 4 out of 6
482,Rate The Autobiography of Alice B. Toklas 1 out of 6 stars
483,i give The Aquariums of Pyongyang 3 out of 6 stars
484,rate The Odd Angry Shot five points
485,Give A Kentucky Cardinal four points
486,four points for this essay
487,I would rate Eater of Wasps a value of zero and a best rating of 6
488,give 0 out of 6 points to The Paper Men
489,Rate the current essay zero points
490,rate this series one of 6
491,give this textbook zero out of 6 points
492,Rate my current essay a 2
493,Please give 1 points to Waiting for the Mahatma.
494,I give The Cat and the King 2 stars.
495,"The Naked and the Dead was pretty good, I'd give it four stars."
496,"I would rate this book chronicle, 3 out of 5 stars."
497,The book History of Shit should be rated 2 out of 6.
498,Rate The White Body of Evening  one of 6
499,I want to give Select Conversations with an Uncle 5 stars
500,Rate the current essay 4 out of 6
501,National Lampoon Tenth Anniversary Anthology 1970-1980 is a 4 out of 6 read
502,Rate The Night Land three out of 6
503,rate the current novel one out of 6
504,this album is the last and rated five
505,rate the book The Orchard Book of First Greek Myths a 0
506,Gie this textbook 3 stars
507,Rate the current novel two stars
508,I give The Lady Decides a rating value of 4 and a best rating of 6
509,I'd say Life in the Iron Mills was a five
510,rate this saga 4 out of 6 stars
511,The current essay only deserves one out of 6 points
512,give the current textbook 1 out of 6 stars
513,rate Beaver Towers five out of 6 stars
514,rate the last series one of 6 stars
515,I feel that zero out of 6 points would be the rating of Queen of the Dawn.
516,I would rate the chronicle The Monks of Thelema a 2
517,"I liked Ports of Call, I'd give it a 5 out of 6."
518,give The Council of Dads 1 out of 6 stars
519,rate The Citadel 1 out of 6 points
520,Give 4 stars to the current essay
521,Rate the current textbook 1 of 6 stars
522,I want to rate the saga The Italian two to 6 points.
523,rate The Pig Scrolls one of 6 points
524,the next book is worth two
525,rate Cousin Bette 5 points
526,Give four / 6 points to Empire of Death
527,Rate Recovery Road a three
528,Give the current series two stars.
529,The Comics We Loved gets 1 out of 6 points
530,I would give this current chronicle a value of 4 and a best rating of 6
531,The Mad Scientist Hall of Fame gets only a two out of 6
532,Rate the current essay zero stars
533,Rate To Live and Die in L.A. a four out of 6.
534,give 3 out of 6 points to current novel
535,Rate this current novel 1 out of 6 points.
536,4 stars for Three to Get Deadly
537,Give this album a five out of 6
538,Not Yet: A Memoir of Living and Almost Dying was one out of 6 stars
539,I give Out of Sync zero out of 6 points.
540,The book History by Contract is rated five stars in my opinion.
541,Rate What Is Called Thinking? 0 stars
542,rate this book saga 3 out of 6 stars
543,this textbook gets a two
544,Give the current textbook 5 / 6 points
545,Give this series 3 stars
546,rate the current book 3 out of 6 stars
547,give Heartland chronicle four points
548,Rate The Masks of Time zero of 6 stars
549,give 0 out of 6 points to current textbook
550,find five points called The Origins of Virtue
551,Rate my current book one stars
552,Rate this book four points
553,I would give this book a value of 2 and a best rating of 6
554,Rate Lord of the World a value of 4
555,I rate this essay 5 of 6 points
556,Rate this novel three out of 6 stars
557,i give the following textbook three points
558,give two out of 6 stars to current book
559,Rate this essay two stars
560,I rate Vivian Grey three.
561,give three stars to chronicle Falling in Love With Hominids
562,Rate The Principle of Hope 1 out of 6 stars
563,I want to give this current textbook 4 points.
564,I am giving this current novel 1 out of 6 stars
565,Rate the current textbook 4 out of 6 points
566,Give The Neon Bible three stars / 6
567,I give the current chronicle one of 6 stars
568,I rate this essay a two of 6 points
569,I would rate The Spoiler 0 stars
570,I give the next essay 4 out of 6 points.
571,Rate this current novel 5 points
572,Rate The Change 0 out of 6 points
573,Give the current book a one out of 6.
574,This current book deserves 1 points
575,Rate this textbook a three
576,Rate Voyages by Starlight a value of 0
577,rate the book Now and Forever 1 out of 6 points
578,Rate this book 3 out of 6 points
579,I feel like this essay deserves four stars
580,Rate Contesting the Future of Nuclear Power a four
581,this essay deserves 0 stars.
582,I would give Sentenced to Prism a rating of zero and a best rating of 6
583,rate this book a zero
584,Give Waiting for the Mahatma 5 out of 6 points.
585,For the book Deception I rate it four points
586,I rate The Mathematical Magpie chronicle a 0 of 6
587,Give Grand Conspiracy zero out of 6 points.
588,I'd like to rate this textbook 4 out of 6
589,rate this novel a three
590,give 1 stars to book Mr Ponsonby
591,rate the current textbook 3 out of 6
592,I am giving the book titled The Masters of Solitude a rating of two out of 6
593,I would rate this chronicle zero and a best rating of 6
594,rate this album one out of 6
595,I think this essay is only good for one stars
596,The Amityville: The Evil Escapes chronicle is only a 1 out of 6. 
597,Rate the current novel a 3 
598,Rate the Casualties of Peace series one of 6
599,the following essay is worth four out 6
600,give two stars to current chronicle
601,The Latham Diaries deserves a rating value of 0 and a best rating of 6
602,give four out of 6 points to current album
603,Rate this novel 1 points.
604,Rate this novel at 2
605,rate this essay three of 6 stars
606,Give The Lost Princess 3 stars.
607,"Rate Shadow of Night a 1
"
608,rate the book Line to Tomorrow three stars
609,"rate Eleanor Rigby a 3
"
610,I rate Doom 3: Worlds on Fire a 1 of 6
611,the next novel is 4 stars
612,Give Twas the Night Before Christmas 0 points out of 6.
613,rate this textbook 4 out of 6 stars
614,I'd rate the current chronicle 2 points
615,Please rate this book and album 4 to 6 stars.
616,Make this essay two out 6 stars
617,give zero out of 6 points to Marxism and the Oppression of Women
618,I would give Dead Man Falling 5 points and a best rating of 6
619,give two points out of 6 to this novel
620,give 4 out of 6 stars to this textbook
621,Rate Maps for Lost Lovers 1 of 6
622,give 1 out of 6 points to this novel
623,Give this essay one star out of 6
624,Rate this album 4 points
625,"rate this book four of 6
 points"
626,The Rats of Hamelin deserves zero points
627,rate this album 1
628,For this book I rate four points
629,I give Jonathan Livingston le goeland 2 of 6 points
630,rate The Overton Window series a two out of 6
631,Rate the current textbook with 2 points out of 6.
632,Rate The Natural a 4
633,Rate this album  zero stars
634,rate the current essay 5 points
635,"Of a total possible of 6, I think the current book is a five."
636,Rate my current book four points out of 6
637,Rate The Desert Column 3 out of 6 
638,rate this essay two points out of 6
639,Rate the previous essay 5 out of 6
640,Give this saga a 5 out of 6 rating.
641,Rate this awful book called Cold with 0 out of 6 points
642,rate this chronicle 3 stars
643,For Mirrorshades I rate it three stars
644,I would rate this current series I'm reading a two out of 6
645,rate this textbook 2 out of 6
646,rate this novel 0 of 6 stars
647,I am giving the current novel a four out of 6 rating.
648,Rate Tropic of Capricorn two stars
649,Give The Lost World 2 points
650,give four out of 6 star to this novel
651,3 out of 6 for the last album
652,rate this book 4 out of 6
653,this current book is worth five
654,rate this current album five out of 6 points
655,Warriors of Legend gets a 3 out of 6
656,rate the current album two points
657,Rate the current textbook 3 of 6
658,Rate Homicide: A Year on the Killing Streets five stars
659,Rate this book zero out of 6
660,rate the chronicle following a 4
661,I want to give The Nightmare Fair five stars and a rating of 6
662,Rate the My Beloved World saga a one 
663,Big Breasts and Wide Hips is terrible and 1 out of 6
664,give one out of 6 star to A Girl Is a Half-formed Thing chronicle
665,Rate Wielding a Red Sword 0 stars
666,Rate this essay a 3
667,rate Secrets and Lies 2 of 6 stars
668,I'd give The Day of Reckoning four points
669,I feel that Sons and Lovers deserves a rating of 2.
670,Rate this album only three points 
671,give two out of 6 points to current textbook
672,Rate my current textbook 1 out of 6 points
673,rate Getting It Wrong from the Beginning a value of 4
674,I give the previous series four stars.
675,"give five star to The Second Angel series
"
676,"give this novel 3 of 6
"
677,Rate the current essay 3 out of 6 points
678,Give this novel two out of 6 stars
679,give this textbook a five
680,Remember the City nets five out of 6.
681,rate the current chronicle a zero
682,Give The Phantom Ship a zero.
683,Rate this chronicle 0
684,Give this chronicle a 4 out of 6
685,Rate the saga Rides a Dread Legion zero out of 6 points.
686,give three out of 6 points in current essay
687,Rate Encyclopaedia of the Social Sciences zero out of 6
688,Rate the White Lies chronicle 0 stars
689,give four star to current novel
690,I would give Bones of the Earth 2 points
691,I am giving this current essay zero out of 6 stars
692,For the current essay I give a total of 1 stars
693,Rate the current textbook a 0 out of 6.
694,I want to give The Coming of the Terraphiles a rating of 1.
695,Rate my current book 1 out of 6
696,I am giving the book After Henry a rating of 0 out of 6 stars
697,Rate this album one value
698,rate With Kitchener in the Soudan 2 stars out of 6
699,The current essay gets four points
700,Rate this textbook 2 points.
701,Rate current book two points
702,I would give the All That: Fresh out the Box saga a rating of 2 points
703,Rate 3 out of 6 points to Darkworld Detective
704,Rate this novel 5 out of 6 stars
705,I'd give The Mystery of the 99 Steps three stars out of 6
706,I give 4 of 6 stars for the saga A Severe Mercy
707,Rate this album three out of 6 
708,I want to give the current textbook 0 out of 6 stars
709,Rate this album 2 stars
710,give 5 out of 6 points to Myths of the Hindus & Buddhists
711,the previous book is five out of 6 stars
712,give four points to this novel
713,Rate current novel two stars
714,Rate the current essay four out of 6.
715,Rate The Coming of Bill 3 of 6 stars
716,Rate this essay 4 out of 6 stars 
717,The current series deserves three stars. 
718,Give The Turning Point a 0 out of 6.
719,rate the book Indiana Jones and the Dance of the Giants 5 out of 6 stars
720,rate The Descendants two points
721,give Rathinirvedam a rating of 3 out of 6
722,Rate Equal Affections one points
723,Rate this book one stars
724,"rate Cock and Bull 5 of 6
 points"
725,I think this novel gets 1 stars
726,Rate The Making of a Teacher a two
727,Rate this textbook 1 stars
728,I wish to give this textbook a zero out of 6 points
729,"rate this book 2
 stars"
730,rate the last book 0 stars
731,I give the Flash series 0 out of 6.
732,I think that this book deserves a 3
733,Give the current chronicle 2 stars.
734,rate the current saga one stars
735,Rate the current album 3 points
736,Rate Peter and the Sword of Mercy 3 of 6 stars
737,rate The Lost Hero chronicle four out of 6
738,Out of 6 stars I give the chronicle three and look forward to what's next.
739,Give Souls in Metal four out of 6 points
740,"For the book Tale of the Toa I give five points 
"
741,I give The Prestige a rating of 5
742,I give the Budayeen Nights saga five out of 6 points.
743,rate The Key Word and Other Mysteries 4 of 6
744,Rate this textbook 4 stars.
745,Give the current novel a 3 out of 6 rating
746,Rate the Deception chronicle one of 6 points
747,3 stars is the rating for Boy Meets Boy
748,Rate The Summer Job 5 stars
749,I give the following saga a 5.
750,Rate my current novel one out of 6 points
751,Rate this book 0 points out of 6
