,total_string
153,I want to hear Sarban's greatest hits
154,play ray davies on Iheart by only Hit It Again
155,Play my 88 Keys playlist.
156,Play some Rockwell from around 1996
157,Play me a top 20 chant by Ruwanga Samath on Lastfm
158,play something from the twenties
159,Play Ciribiribin by Sandeep Khare
160,play some 1991 Dave Barker
161,Play Wynton Kelly music on Netflix sort by popular
162,Play bebob on Iheart
163,Play the top 5 by Akira The Don.
164,play some rap on Pandora
165,Play a melody from Elmer Bernstein
166,play The Necromancer
167,Can you play Under The Anheuser Bush by Pete Doherty
168,Play any song from 2001
169,I want to hear some music from Groove Shark
170,Play Sound Of Love from Papa Mali
171,I wanna hear something on Spotify by Eddie Vinson
172,Play a twenties track by the aj carothers on Zvooq.
173,Play Magic Time by Phoebus
174,Play Johnny Gimble
175,play music from 1981
176,play music on Netflix
177,Play a tune by Andrew Findon
178,"Play the playlist, A Mis Ninos de 30."
179,Play some chanson music
180,Play a movement from 1974.
181,Can you play Maggie Mae on Netflix
182,Play music by Young Steff
183,Play Barbra Streisand music from 1997.
184,Play greatest chant music from Beni Arashiro
185,play Make The Cowboy Robots Cry by Sabin Rai on Vimeo
186,Can you play me songs from the Estado de animo playlist?
187,Play music by Janet Paschal
188,Play Praise The Lord And Pass The Ammunition.
189,Please play Short And Sweet by Teyana Taylor from my itunes.
190,Play fourties music on Pandora.
191,Play music by Damien Rice
192,Play some Rachel Stevens off of Itunes
193,Play music from the seventies for me. 
194,Play some Tony Grant.
195,play Andy White
196,Use Google Music to play a song
197,Play Spotify
198,Play music from 2007.
199,Play me a song from the sixties
200,play Robin Trower Unravel
201,play the top twenty movement songs from Roberto Valverde
202,Play hanging in the balance by Nik Kershaw on Zvooq.
203,Play the album Vibrations by Marion Elise Raven
204,play a track by Mila Islam from Deezer
205,play Jawad Ahmad
206,play fourties tunes by Bryan Webb on Groove Shark
207,play Party Ben on Slacker
208,Use Groove Shark to play music from the nineties
209,Play eighties music
210,play my Madrugando playlist on Groove Shark
211,play Darude
212,Play Shinji Miyazaki's music on netflix
213,Play 2gether by Jade Puget
214,play Wow by Jon Theodore
215,play Doctor Fink if i could choose
216,Please open pandora for me
217,Can I hear a tune from Vladimir Vysotski?
218,Please play Different Slanguages by Fred Labour.
219,play music from the sixties
220,I want to hear Somi's songs from the twenties
221,play Tom Jones album from the twenties
222,play songs on Itunes
223,play a chant by Sonsee
224,Play my Piano Ballads playlist.
225,play the album a kiss before you go by Bt
226,Play the Instrumental Study on Vimeo.
227,Play some salsa music.
228,Play top Rosanne Cash
229,play Slacker tunes
230,Play the most popular soundtrack by Elena Paparizou on youtube
231,Play Midnight Special
232,play pop music with Groove Shark
233,play Takes Place In Your Work Space by Eddie Kendricks
234,Play eighties music by Kaira Kwong on Google Music
235,play 1970 trunes
236,Play breathtaking music
237,Play a track from 1985.
238,Play shining down by Tsukiko Amano on pandora.
239,play Who Do You Think You Are by Magnifico with spotify
240,Play tribal
241,Play Rain by Subliminal on Groove Shark
242,Play ballad music from 1958
243,Repeat the track of music
244,Play the playlist introspective
245,Please play a song from the thirties by Peter Murphy on Last Fm
246,Play Party Through The Decades on Deezer
247,Play Martha My Dear by shannon.
248,play the greatest Adrian Kowanek music
249,Can I hear a symphony from the seventies on Youtube?
250,I'd like to listen to Space music
251,play the last Niney The Observer song
252,Play a chant by Mj Cole
253,Play industrial music.
254,Play always by walter parazaider.
255,Play thirties on Lastfm
256,play music form the fourties with Slacker
257,Use pandora to play music from stano in the year 2005
258,Use Groove Shark to play Krizz Kaliko
259,Play the music of Filipp Bedrossowitsch Kirkorow's theme
260,Play Skin & Bone by Jess Stacy on Deezer
261,Play me a seventies ep
262,play falco on Zvooq for Good Hit
263,On Itunes play the latest Anna Yesipova ep
264,Play music from the track She Came In Through The Bathroom Window
265,play some best selling rave songs
266,Play Change Has Come on Google Music.
267,Play the newest stuff by blowfly
268,Play the playlist spring
269,I want to hear something from the nineties by Alissa Musto on Groove Shark
270,Play Trace Adkins' music from the thirties.
271,Play a soundtrack from 1954.
272,"Can you play something from the fourties, preferably a symphony?"
273,play Clifford Brown All Stars by Michael Balzary
274,play Pandora Christian Gangsta Rap
275,Play any chanson
276,Play a chant from the fifties
277,Play Leanne Dobinson Right To Dream
278,play The Happiest Days Of Our Lives by Tommy Emmanuel
279,Please play This Is The Day by Brian Robertson.
280,play Abhijeet Bhattacharya from 1986
281,Play a new tune by louis silvers.
282,Play me a song by Steve Hackett from Manuel
283,Play Portsmouth by Paul Smith on Google Music.
284,Play Dj Drama from the 1976
285,play my tribute by Billy Cox
286,"Play the playlist, Hardstyle, Baby."
287,Play me a sound track by Bert Mccracken on zvooq
288,Play some music from the fourties.
289,Play music on Itunes.
290,I want to hear a Sandra ep
291,play theme by Yanni on Vimeo
292,play fourties tunes
293,Play a 2004 song by eliel on Zvooq.
294,Play some music on Vimeo
295,Play the newest music by Gladys Knight
296,play Hora Din Moldova by Yamazaki Maso
297,play the album Winner Takes All by Takuro with Last Fm
298,Play the best ballad by The Rascals.
299,Play me the track Mama Liked The Roses
300,Play eighties
301,Play a 2014 theme from Greg Pattillo
302,Play some music from Roberto Carlos
303,Play the concert from Philip Oakey 1973 concert on Netflix
304,Play some music from 1995
305,Play Kaori Mochida's most popular music on Google Music.
306,Play A Chaos Of Desire from Dan Snaith
307,Play music by Country Dick Montana.
308,play chant from the nineties with Last Fm
309,Play a top 5 song from Wally Bastian on Google Music
310,Play White Noise.
311,Play ep from Quasimoto from the nineties
312,play a 1988 soundtrack
313,Play a popular sound track by Joe Pass on Itunes.
314,Play something from the jonathon lee movement
315,play James Moody ballad
316,I want to listen to some music from 2003 on Pandora from them
317,play a top 50  tune from the twenties by Willi Williams
318,play fifties track music
319,Play theme music from 2011.
320,play music by Billy Powell
321,Play One Good Reason by Tommy Flanagan on Itunes
322,Play some fun-punk
323,Play me a song by Dj Paul Elstak in 1988 on Zvooq
324,Play Hasan Saltik from 2004
325,I want to hear popular music from Martin Lopez
326,Play A Sudden Rainstorm playlist.
327,play wendy james from the fifties
328,Use Itunes to play music
329,Play a Paul Davis melody
330,Play Lorenzo Palacios Quispe
331,Put on Vimeo and play Kacapi Suling
332,play a soundtrack by Sarah Geronimo on google music
333,Play me a song from 1976 by Bennie Moten
334,I want to hear eighties music by Noko on deezer.
335,Play some Glenn Miller.
336,Can I hear a song by David Hodges?
337,Play The New Retro playlist on Netflix.
338,Play some P. J. Proby
339,Play soundtrack by Armand Van Helden
340,Play The Lamentation Of Cloris
341,I want to hear the new Latin Pop Rising list
342,Please play some music from the seventies movement
343,play Signe Anderson chant music that is newest
344,play Richard Thompson from the thirties song book
345,Play funtime activity
346,Play me a song from Luxury Liner
347,I want to hear De Eerste Keer from Paul Caiafa  off of Google Music
348,Play a sixties song.
349,I want to hear some twenties music off of Deezer
350,Play some movement from 1959 on deezer.
351,play songs by Queen
352,Please play good music by Will Oldham.
353,Play a song from the thirties on Zvooq
354,play Vanlose Stairway by Janove Ottesen
355,Play me the last 1980 record by Brenda Kahn
356,Play music from the top-5 from artist Kenia Arias
357,Lets hear some 2009 music
358,Play some bass music.
359,Play Furusato on Google Music.
360,Play Party Anthems
361,use Iheart radio to play eighties music from Hugh Masekela.
362,Play a symphony from Bob Hardy please
363,Play some eighties music.
364,Play a 1964 track from Shahram Nazeri on Pandora.
365,Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett
366,Play a new symphony by Perfecto De Castro on Lastfm
367,Play some music from the thirties.
368,Play some Matthew Sweet music from around 1996 on Spotify
369,open lastfm  play top hits of Simon Webbe
370,play 1981 music on Last Fm
371,Play a track from 1959.
372,Play chant music by Big Dee Irwin.
373,"Play me Gil Parris's A Cup Of Coffee, A Sandwich And You"
374,Play Pura Vida.
375,Play a top fifty ballad by Linda Strawberry on Google Music
376,use Spotify to play greatest songs from Kailash Kher
377,Play the newest melody by Cisco Adler on pandora
378,Use service Vimeo to play music from the artist Mick track Now We Are 5
379,Open Youtube and play Renaldo Lapuz record from the eighties
380,play some good amber gristak on Lastfm
381,play some synthpop
382,Play music from my relentless playlist
383,Plpay my Disco Fever playlist.
384,play valerij kipelov on Vimeo
385,Can you play The Change Is Made on Netflix
386,Play some Robbie Merrill.
387,Play me a song from the twenties by Randy Bachman
388,I need to hear some r&b music off of iheart
389,Play some dance music.
390,Play new music from Liang Wern Fook
391,listen to Pmd symphony
392,play By The Sleepy Lagoon by Greg Kurstin
393,I want to listen to some Saori Atsumi from the twenties on Deezer
394,Play some gangsta music
395,Play The Eternal by Juju Mob on Vimeo.
396,Play me a Mario Vazquez movement
397,Play music on Lastfm
398,Play Eve
399,Play music from 2011.
400,Play some Psychedelic Rock.
401,play Top 100 Indie Tracks on Spotify on Lastfm
402,play an eighties track 
403,Can you play me some eighties music by Adele
404,Play Oliver Cheatham's symphony from the thirties.
405,Play chant music by Ira Losco on Iheart.
406,Play me the most popular Lillian Hardin song on Itunes
407,Play the red room sessions from chris cunningham
408,Can i use Lastfm to listen to Twilight Time by Dj Khalil?
409,I want to listen to Roger Daltrey from the sixties on slacker
410,Play music from Tommy Ridgley.
411,play All Of Your Toys by Chris Ledoux
412,Play music by Fidel Nadal sorted by newest.
413,Play Shaina Magdayao's music on Iheart
414,I need to hear a thirties soundtrack
415,Play Dave Wyndorf album
416,Play me a song by Linn Berggren from Spotify
417,Play me something by Funtwo
418,Play some The Lady Is A Tramp from Timour Moutsouraev
419,play pandora tracks by Akhtar Sadmani
420,Please play some music from 1996
421,Use the service Lastfm to play music by the artist ai kago
422,Can you play a song by Ken
423,Play music using Last Fm
424,play some Kyle Ward from the seventies
425,Play Bald by Kaskade.
426,Play me some music on Deezer
427,Play my Futuros Hits playlist on Spotify.
428,Play Strength of Street Knowledge on Groove Shark
429,Use Pandora to play Korean OSTs
430,Play some Gospel music.
431,Play satire
432,Play the top 20 ep from the fifties by John Bundrick.
433,Play Alfredo Zitarrosa on spotify.
434,Play me some Terror music
435,Play music from 2010 by Jason Donovan
436,Play me something on Last Fm
437,Play Giovanni Battista Guadagnini's 1982 tracks.
438,Play some Rumba Africana.
439,Play Greg Raposo songs from the thirties
440,Play a top-five song by Pete Candoli.
441,Play Iheart
442,Play the symphony by Tetsuya Ogawa from 1953
443,Can you play me some Pop-folk music
444,Play that new song from 1970
445,Play some space music on Google Music
446,Play a song by Juanes on Last Fm
447,Play Salmonella Dub Dvd by mario rubalcaba on Vimeo 
448,Play some music from 1958 on Deezer.
449,I want to hear some of David Gilmour's music from 1973
450,Play music from the playlist Late Night Jazz
451,Play the song Victim Of Changes from Hawkshaw Hawkins on Spotify
452,Play the music from the playlist Get Lit
453,play Bra Vibrationer by Dean
454,Play music from the playlist Get Your Mind Right
455,Play Talking To The Universe on Itunes
456,I want to hear the album Insult To Injury by Narayana Tirtha.
457,play latest Shaggy music
458,Play Slacker radio.
459,Will you play a ballad from Mahalaxmi Iyer
460,use Spotify to play Nina Persson from 1962
461,I want toi hear some Pop Punk Perfection off of Deezer
462,Start up my Independent Music Monday playlist.
463,Play That Would Be Something by Eden Ahbez
464,Please play Every Woman In Me
465,Play some Ven A Mi
466,Please play some fourties music on Spotify
467,Play Dj Cameo on itunes.
468,play some gotye
469,play This Is Colour by Panda Bear
470,Play songs by Cheryl Wheeler
471,Play the most popular song from Chae Yeon off of Spotify
472,Please play me something by New Wave Of American Heavy Metal
473,Play Deezer
474,Play me the best Charles Neidich song
475,I want to hear the sound track to Mary Macgregor new songs on Iheart
476,Play music on the playlist Electronic Gaming
477,I want to hear some Bill Black chant music
478,Play some thirties music on Netflix.
479,play some eighties by Amirbai Karnataki
480,Open Youtube and play Connie Francis Sings Spanish And Latin American Favorites from Yukiko Iwai
481,Play the Ricky Wilson album Spectral Dusk
482,Play Red Barchetta by Blind Lemon Jefferson.
483,Play the track R U Professional by Roberto Carlos Braga
484,play drive playlist
485,Play Regulate...g Funk Era by artist Iouri Bachmet on groove shark
486,play music from Itunes for Ric Grech
487,Play some music on Lastfm.
488,Play The Fool On The Hill by Khwaja Ghulam Farid
489,Play the best songs of 2016
490,Play something by Chris Knight
491,Wish to hear a concerto by Diplo from 1952
492,play songs from Youtube
493,"Play an album from the fourties, new first."
494,"Play Chantal Kreviazuk, Sister Ray"
495,"play Isaac Hayes on Pandora from love, sweat and beer ep"
496,play Only Hope by Graham Bonnet
497,Play some Avantgarde music on Netflix.
498,Play gothic music
499,I want to hear Song For Adam
500,Play the playlist Feel Good Dinner.
501,Play the top track by Claudja Barry on Last Fm
502,Play some Iris Dement's theme based 2015 music on lastfm 
503,Play the latest ballad by September
504,Play fifties music
505,play songs by Sarah Harding
506,Play Maggot Brain by Albano Carrisi
507,Play a Jack Lawrence concerto
508,I want to hear the top Tim Madison
509,Play the 1991 soundtrack from Ian Mcdonald
510,Play the best songs by Jes Brieden
511,Play me a song by Kevin Cadogan
512,"Play something from my Songs For You, Not Your Parents playlist"
513,Play Making Out by Alexander Rosenbaum off Google Music.
514,Play Rocket Queen on Itunes
515,Please play a song by Everlast
516,Play me some chant from the last half of the sixties
517,Play music by Paul Mccartney
518,Play some Krzysztof Penderecki on Last Fm
519,Play easy listening
520,play Robert Stoddard from 1988
521,Play Gloria on last fm
522,play some movement by Dj Spinna
523,"play Lily, Rosemary And The Jack Of Hearts by Chris Goss"
524,play Zvooq latest track by Peter Appleyard
525,Play Brenda Kahn's Rushall Station.
526,play the top five songs by Isaac Hayes
527,Play some music from the thirties.
528,Play 2011 music 
529,I want to hear Sebastian's songs from the thirties on Youtube
530,Play top 20 from frank farian
531,Play some music using slacker
532,Play some psychadelic music.
533,Play some Geir Jenssen.
534,Start playing my Disney playlist.
535,I want to hear a Gucci Mane song from Last Fm from 2002
536,Play me a 2003 song by Charles Neidich
537,I want to hear some songs from the twenties
538,I'd like to hear chant songs from nineties
539,Can you play the newest record from 1966 by Tony Lee
540,Please play Kabhi Jo Baadal Barse by Ruth Lorenzo
541,Play a record from 2015
542,Use the service Zvooq to play top-10 by artist Coolio
543,Play thirties symphony music from Nigga on Iheart
544,play a sound track by Tom Thacker
545,Play some Laurie Anderson.
546,"Open Last Fm and play the top song from Daniel Lee Chee Hun
"
547,play some twenties music on Iheart
548,Play popular eighties record
549,Play the track Grow Old With Me by artist Chloe Rose Lattanzi
550,on Deezer play fourties tunes by Jona Bechtolt and a ballad
551,play Kings Of The Wild Frontier by Andrea Bocelli
552,Play an album from 1987.
553,Play music from 1960
554,Play a movement from the nineties
555,Play Bob Hilliard top-twenty music
556,Play a seventies soundtrack by steve walsh on Groove Shark
557,Use Deezer service to play Opera 
558,play Zvooq
559,I want to hear Techno-industrial music.
560,play the top song by Amon Amarth on Groove Shark
561,Play Julie Driscoll
562,play something from the twenties
563,Play The View From The Afternoon by Malese Jow on Last Fm
564,play songs by Sammy Fain
565,Play music from the year 1964
566,Play the heinz strobl ep from 2016 on Groove Shark
567,Play me Leonid Soybelman on Vimeo.
568,Play a song from my workout playlist on Groove Shark
569,play some Alte Kameraden music
570,Play the music Hands Up
571,Play some twenties theme music on Google Music.
572,Play a fifties album on Itunes.
573,Play genre opera
574,Play shadowplay by Dana on Deezer.
575,Play music on Deezer by Imogen Heap
576,Find a top fifty zahir howaida concerto from the seventies
577,Play the newest twenties melody.
578,I want to hear Box Of Rain by Skeets Mcdonald
579,Please play Casino Boogie
580,I want to hear a full album on youtube by Jem Godfrey
581,Play an Asha Bhosle song from around 1964
582,Play music from the twenties.
583,Play something by Louisiana Blues
584,Play new Ian Mclagan
585,Play music on Itunes
586,I want to hear Ding Dong Bell on groove shark
587,Play fifties music on Slacker.
588,Play Before I Grew Up To Love You by Wafah Dufour
589,Play a Jim Mullen ep from the sixties
590,Play some good music from 2012.
591,Play the greatest soundtrack by Nhat Son on Last Fm.
592,Play the top hits of 2016
593,"Play Fight On, State."
594,Use Pandora to play music from Maki Onaga from the album made in the nineties
595,Play the top five Cemil Bey songs
596,Play opera music on google music
597,play music by Francis Healy
598,play a track from the thirties
599,Play music on Spotify.
600,play newest soundtrack from 2008
601,play Itunes  songs by Gerard Way
602,Play Cherry Pink by Trapp Mendoza on Iheart
603,Play Rei Momo newest album
604,I want to hear a track by Ryohei Yamamoto on Vimeo
605,Start up my nostalgic playlist. 
606,play some papoose from 2003 on youtube
607,Use Deezer to play music by Kimberley Walsh
608,Play Punk Rock music
609,Play something by Louis Nelson Delisle.
610,play 1962 music on Netflix
611,Play a song by David Silveria from 2002 on Zvooq.
612,play the 2014 album from la lupe
613,Play Revival music.
614,I want to hear opera on Netflix
615,play the song Si No Te Hubiera Conocido by Haidar Salim
616,Start up my Pachangueo Total playlist. 
617,Open the playlist from Sergei Chatschatrjan
618,open Itunes and play Kenny Cox most popular concerto
619,play the Gary Chaw album
620,Play me some grunge music
621,Play Chris Goss on Netflix
622,Play The Garden Of Allah  from Wade Mainer
623,Play Alles Heeft Ritme by Liu Tianhua.
624,Play the best Vanessa Peters songs
625,Play That Stubborn Kinda Fellow by Michael Amott
626,play a 1983 concerto by Ayaka on Itunes
627,I want to hear Dido from 1966 on Youtube
628,Play Andy Williams Sings Rodgers And Hammerstein by elica todorova
629,Play Tujiko Noriko's Ten Years And Running.
630,Open google music and play Women of Jazz playlist
631,Play christian gangsta rap
632,Play Donald Rubinstein on Pandora
633,Play Shinya Yamada music from 1962 on Groove Shark 
634,play the greatest Vimeo tunes by angelo amorevoli on soundtrack
635,Play some Google Music.
636,Open Deezer and play top 40 hits
637,Play me a nineties sound track
638,play a symphony that is good from 2000
639,Play some music on Pandora
640,play music from the twenties
641,play the most popular Miles Jones track
642,Play Miyavi's music from seventies on Google Music.
643,Play a twenties soundtrack on Youtube
644,Play slow rock music
645,Play some techno on Lastfm
646,Will you play me the most popular sound track from 2006
647,Play the song I Get Ideas as performed by Richard Kruspe
648,Play new track from the fifties
649,Can you play an ep from the year 1958?
650,play scott la rock from Stella on Slacker
651,Play Thelma Aoyama's latest concerto
652,Make and play a new playlis with the theme songs released in 1968
653,Play the tune by Adam Yauch
654,Play some melody from the eighties on Spotify
655,Play music by mina caputo on Lastfm
656,Play some fifties music by Origa.
657,Play a popular Gurdas Maan track
658,play an album on Netflix by chris castle from 2011
659,Play the most popular music by Ronald Isley on Google Music
660,Play the top-20 music by merz
661,play twenties music off of my Itunes
662,Play a Mike Osborne song
663,play Groove Shark
664,Play me a Maia Hirasawa soundtrack from 1951
665,Play Elysium from Ryan Cayabyab
666,play Matt Walker tunes
667,play Solange 2016 album 
668,Play a soundtrack by Mike Hindert on Spotify.
669,Play the top-5 sort of ballad music from 2012.
670,"I want to listen to Lastfm, play A Drop Of The Hard Stuff by Joi Chua."
671,play Pop 2017 Picks
672,play Groove Shark
673,I want hear some Junior Murvin off of Youtube
674,I want to hear a top-50 track from Takahito Eguchi on Google Music
675,Play 25 To Life by Paul Riley on Deezer.
676,Play me some seventies music with a good melody
677,play an Masaki Aiba tune
678,play Morning Song
679,I want to hear a fourties ballad by Luciano
680,play a good 1952 symphony
681,play Hardcore music
682,Play a top twenty symphony by Bumble Bee Slim
683,play Wait Until Tomorrow
684,play a music ballad from the sixties
685,Play the top 1991 sound track
686,Play the latest songs by Larry Gatlin on Iheart
687,Play me a bluegrass song
688,Play a sixties song by Classified
689,play Monie Love tunes on Google Music from 1984 from her song list
690,Play pop
691,Play a melody from Elmer Bernstein
692,I want to listen to my Spain Top 50 playlist on groove shark
693,Play top-ten eighties song
694,Play Michael Angelo Batio
695,Play a twenties concerto from Roger Taylor on deezer
696,play dj kentaro from the year 1994
697,play a twenties song
698,Can you play me a track from the nineties?
699,Play a song off Get Up Offa That Thing by Doseone on Last Fm
700,Play a movement fromthe eighties by Nobuo Uematsu.
701,Play In Every Dream Home A Heartache by vincent paul abbott 
702,Play the newest released song from 1951
703,use Slacker to listen to seventies music
704,Play the best song by Henry Rollins.
705,play my melodious playlist
706,Play top music from Charles L. Johnson on vimeo 
707,Play the top-twenty from Tony Calder off Slacker.
708,play anything from the twenties
709,Play music from 2012 by Yossif Kobzon on last fm.
710,Play the theme tune that Christian Fennesz wrote
711,Open Youtube and play Nanana from Massimo Altomare
712,Open Lastfm and play a voluntad del cielo from Wax
713,I want to hear a 1957 theme song
714,Play my Electro Sur playlist. 
715,play the last track by Shavo Odadjian
716,Play Brotherhood by Ock Joo-hyun
717,play latest George Ducas music
718,play a tune from 1962
719,play I Could Write A Book
720,listen to acapella
721,Play music from 2005 by Justin Broadrick
722,Play the best 1981 sound track from Ric Fierabracci
723,Play a ballad by Owen Pallett from the seventies on Slacker.
724,Play concerto from 1951
725,Play Yung Joc on slacker
726,I want to listen to Speed Metal Symphony
727,play journey list
728,Play a melody by Hagigat Rzayeva
729,Play fifties from Sirusho Harutyunyan
730,Play a fairouz tune on Deezer
731,play the top-twenty songs by The Kleptones on Spotify
732,Play the greatest music you can find by Ari Herstand on Zvooq
733,play 90s Love Songs on Youtube
734,Please play Got The Time
735,Play twenties from Ken Floyd
736,Play the playlist Grime Shutdown
737,Play Masashi Hamauzu's newest symphony on Itunes.
738,Play the playlist funtime activity 
739,Play some seventies songs from Luke Haines off of youtube
740,Play Clay Aiken's The Bonny Hind on Groove Shark.
741,Play a song from Helena Iren Michaelsen on Spotify
742,Play thirties music by Flex on Google Music
743,Play the good sort of 1992 theme music by Layzie Bone
744,Play the last soundtrack from the sixties
745,Play the latest ep from Lobby Loyde on Netflix
746,Play some Dave Pearce.
747,play track Her Majesty
748,I want to hear the newest music from The Railway Children
749,Play Short Walk On A Long Pier on Slacker
750,I want to hear Vegetables by pharrell williams
751,Play the album Making Evening And Night by Cevin Key 
752,Create a theme station with Jim Creeggan records and collabs 
753,Open Pandora and play Reggaeton 2017 y Baila!
754,Play a Martyn Bennett from 1957 on Pandora
755,Play the Mother Lode by Tamio Okuda
756,Play the top melody from artist Maakii
757,Play any album from the twenties
758,Play me a song on Pandora
759,Play me a song by Stephen Jones
760,Play a 1998 sound track  from Sam The Kid on Last Fm
761,Play an ep by Uncle Jimmy Thompson
762,Play some Game music.
763,Play music from 2012 on Netflix.
764,I want to hear a good song from 2016
765,Play the playlist Gypsy Swing
